"Faça uma cópia da planilha para realizar o desafio em:
Arquivo > Fazer uma cópia",,,,,,,
Nº de vendas,Nº de vendas confirmadas,Qtd de acessos,Data,GMV,Tipo,Categoria,Parceiro
13,12,91,2022-04-14,"R$ 12.457,91",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
3213,1067,28488,2022-04-14,"R$ 1.387.270,80",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
7,6,140,2022-04-14,"R$ 17.107,78",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1015,877,9051,2022-04-14,"R$ 869.556,19",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4048,3702,19886,2022-04-14,"R$ 818.217,67",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
489,356,3718,2022-04-14,"R$ 609.352,63",Padrão,VIAGEM E TURISMO,Parceiro-262
56,44,394,2022-04-14,"R$ 32.350,06",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
714,564,3215,2022-04-14,"R$ 113.976,77",Padrão,BELEZA E SAÚDE,Parceiro-463
217,201,1517,2022-04-14,"R$ 48.652,59",Padrão,MODA E ACESSÓRIOS,Parceiro-49
55,39,426,2022-04-14,"R$ 9.170,80",Padrão,BELEZA E SAÚDE,Parceiro-51
42,31,396,2022-04-14,"R$ 14.940,20",Padrão,ESPORTE E LAZER,Parceiro-525
52,32,541,2022-04-14,"R$ 4.768,35",Padrão,VIAGEM E TURISMO,Parceiro-6095
10,10,104,2022-04-14,"R$ 2.850,27",Padrão,ESPORTE E LAZER,Parceiro-62
18,13,134,2022-04-14,"R$ 8.711,90",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
4,1,44,2022-04-14,"R$ 958,79",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
10,9,141,2022-04-14,"R$ 2.229,75",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
70,63,1768,2022-04-14,"R$ 77.749,83",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
22,21,426,2022-04-15,"R$ 11.434,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
7,2,73,2022-04-15,"R$ 25.346,51",Padrão,VIAGEM E TURISMO,Parceiro-1561
6,4,73,2022-04-15,"R$ 9.165,10",Padrão,MODA E ACESSÓRIOS,Parceiro-169
0,0,14,2022-04-15,"R$ 0,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
15,14,87,2022-04-15,"R$ 16.685,51",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2189,1060,22763,2022-04-15,"R$ 1.377.990,72",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
6,4,95,2022-04-15,"R$ 13.555,86",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
998,864,9086,2022-04-15,"R$ 783.303,10",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
3387,3072,16938,2022-04-15,"R$ 742.697,42",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
414,285,2757,2022-04-15,"R$ 567.526,83",Padrão,VIAGEM E TURISMO,Parceiro-262
41,37,276,2022-04-15,"R$ 12.746,10",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
445,372,1937,2022-04-15,"R$ 68.716,58",Padrão,BELEZA E SAÚDE,Parceiro-463
200,185,1537,2022-04-15,"R$ 49.078,29",Padrão,MODA E ACESSÓRIOS,Parceiro-49
28,22,296,2022-04-15,"R$ 8.421,60",Padrão,BELEZA E SAÚDE,Parceiro-51
44,34,403,2022-04-15,"R$ 14.502,59",Padrão,ESPORTE E LAZER,Parceiro-525
34,20,414,2022-04-15,"R$ 3.703,24",Padrão,VIAGEM E TURISMO,Parceiro-6095
10,10,63,2022-04-15,"R$ 1.797,33",Padrão,ESPORTE E LAZER,Parceiro-62
13,10,120,2022-04-15,"R$ 3.722,93",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
7,1,31,2022-04-15,"R$ 1.823,23",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
11,11,87,2022-04-15,"R$ 2.634,00",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
69,66,1427,2022-04-15,"R$ 109.442,70",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
32,30,369,2022-04-16,"R$ 22.674,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
10,8,86,2022-04-16,"R$ 13.344,51",Promocional,VIAGEM E TURISMO,Parceiro-1561
6,5,49,2022-04-16,"R$ 28.692,70",Padrão,MODA E ACESSÓRIOS,Parceiro-169
0,0,34,2022-04-16,"R$ 0,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
12,11,61,2022-04-16,"R$ 8.097,28",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1764,915,18230,2022-04-16,"R$ 1.131.359,32",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
10,7,92,2022-04-16,"R$ 13.422,04",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
907,793,8061,2022-04-16,"R$ 594.243,13",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
3020,2759,15949,2022-04-16,"R$ 617.203,29",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
323,235,2119,2022-04-16,"R$ 489.769,32",Padrão,VIAGEM E TURISMO,Parceiro-262
40,37,278,2022-04-16,"R$ 18.053,65",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
408,330,1924,2022-04-16,"R$ 60.873,70",Padrão,BELEZA E SAÚDE,Parceiro-463
224,213,1442,2022-04-16,"R$ 49.582,92",Padrão,MODA E ACESSÓRIOS,Parceiro-49
39,36,298,2022-04-16,"R$ 14.415,70",Padrão,BELEZA E SAÚDE,Parceiro-51
31,24,341,2022-04-16,"R$ 11.641,77",Padrão,ESPORTE E LAZER,Parceiro-525
27,17,286,2022-04-16,"R$ 4.016,26",Padrão,VIAGEM E TURISMO,Parceiro-6095
14,14,93,2022-04-16,"R$ 3.432,54",Padrão,ESPORTE E LAZER,Parceiro-62
10,8,94,2022-04-16,"R$ 2.413,18",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
2,1,11,2022-04-16,"R$ 344,94",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
7,7,85,2022-04-16,"R$ 1.779,75",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
66,61,1358,2022-04-16,"R$ 82.745,86",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
23,20,453,2022-04-17,"R$ 124.199,99",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
11,6,86,2022-04-17,"R$ 13.574,35",Promocional,VIAGEM E TURISMO,Parceiro-1561
3,3,35,2022-04-17,"R$ 6.558,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
0,0,19,2022-04-17,"R$ 0,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
15,13,77,2022-04-17,"R$ 8.419,46",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1439,987,15154,2022-04-17,"R$ 1.001.339,13",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
8,6,89,2022-04-17,"R$ 9.455,30",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
997,871,8322,2022-04-17,"R$ 759.739,28",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
3523,3222,17212,2022-04-17,"R$ 661.673,80",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
460,334,2686,2022-04-17,"R$ 703.396,20",Padrão,VIAGEM E TURISMO,Parceiro-262
54,49,321,2022-04-17,"R$ 32.148,85",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
457,376,1943,2022-04-17,"R$ 72.629,11",Padrão,BELEZA E SAÚDE,Parceiro-463
274,262,1728,2022-04-17,"R$ 58.435,22",Padrão,MODA E ACESSÓRIOS,Parceiro-49
32,27,333,2022-04-17,"R$ 9.763,30",Padrão,BELEZA E SAÚDE,Parceiro-51
36,30,301,2022-04-17,"R$ 12.584,28",Padrão,ESPORTE E LAZER,Parceiro-525
39,29,453,2022-04-17,"R$ 4.167,09",Padrão,VIAGEM E TURISMO,Parceiro-6095
14,12,82,2022-04-17,"R$ 3.040,07",Padrão,ESPORTE E LAZER,Parceiro-62
18,17,159,2022-04-17,"R$ 5.960,75",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
2,0,8,2022-04-17,"R$ 453,22",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
10,8,86,2022-04-17,"R$ 4.486,25",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
78,73,1147,2022-04-17,"R$ 109.936,68",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
53,52,690,2022-04-18,"R$ 51.304,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
15,9,89,2022-04-18,"R$ 29.725,28",Padrão,VIAGEM E TURISMO,Parceiro-1561
4,4,92,2022-04-18,"R$ 6.449,65",Padrão,MODA E ACESSÓRIOS,Parceiro-169
0,0,8,2022-04-18,"R$ 0,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
16,15,83,2022-04-18,"R$ 17.523,80",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1895,1331,19820,2022-04-18,"R$ 1.451.743,87",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
15,12,146,2022-04-18,"R$ 6.719,97",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
2393,2068,20731,2022-04-18,"R$ 1.991.437,53",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5231,4835,27279,2022-04-18,"R$ 1.006.739,31",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
633,468,5347,2022-04-18,"R$ 696.298,71",Padrão,VIAGEM E TURISMO,Parceiro-262
79,70,588,2022-04-18,"R$ 42.265,68",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
837,656,4171,2022-04-18,"R$ 132.995,27",Padrão,BELEZA E SAÚDE,Parceiro-463
346,328,2019,2022-04-18,"R$ 78.161,50",Padrão,MODA E ACESSÓRIOS,Parceiro-49
34,30,442,2022-04-18,"R$ 12.439,40",Padrão,BELEZA E SAÚDE,Parceiro-51
109,97,708,2022-04-18,"R$ 32.254,61",Padrão,ESPORTE E LAZER,Parceiro-525
76,52,753,2022-04-18,"R$ 8.845,33",Padrão,VIAGEM E TURISMO,Parceiro-6095
13,12,102,2022-04-18,"R$ 3.147,48",Padrão,ESPORTE E LAZER,Parceiro-62
17,17,190,2022-04-18,"R$ 6.311,20",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
12,3,65,2022-04-18,"R$ 2.597,10",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
9,7,112,2022-04-18,"R$ 14.023,25",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
105,101,1776,2022-04-18,"R$ 106.973,46",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
113,104,4374,2022-04-19,"R$ 111.773,00",Promocional,MODA E ACESSÓRIOS,Parceiro-1335
9,8,70,2022-04-19,"R$ 10.731,68",Padrão,VIAGEM E TURISMO,Parceiro-1561
8,6,126,2022-04-19,"R$ 26.333,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
0,0,96,2022-04-19,"R$ 0,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
9,3,73,2022-04-19,"R$ 93.512,07",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1781,1261,17769,2022-04-19,"R$ 1.376.641,83",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
10,8,218,2022-04-19,"R$ 10.249,85",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
2309,1968,20238,2022-04-19,"R$ 1.802.075,61",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5256,4831,25988,2022-04-19,"R$ 1.235.309,27",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
644,473,5070,2022-04-19,"R$ 762.110,35",Padrão,VIAGEM E TURISMO,Parceiro-262
80,73,608,2022-04-19,"R$ 56.570,02",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
857,677,3953,2022-04-19,"R$ 150.956,88",Padrão,BELEZA E SAÚDE,Parceiro-463
310,289,2055,2022-04-19,"R$ 65.097,09",Padrão,MODA E ACESSÓRIOS,Parceiro-49
88,74,607,2022-04-19,"R$ 27.682,48",Padrão,BELEZA E SAÚDE,Parceiro-51
75,62,558,2022-04-19,"R$ 25.812,27",Padrão,ESPORTE E LAZER,Parceiro-525
59,38,697,2022-04-19,"R$ 5.744,49",Padrão,VIAGEM E TURISMO,Parceiro-6095
12,11,94,2022-04-19,"R$ 2.805,15",Padrão,ESPORTE E LAZER,Parceiro-62
19,16,209,2022-04-19,"R$ 6.170,51",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
9,3,56,2022-04-19,"R$ 2.455,48",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
10,8,44,2022-04-19,"R$ 3.469,25",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
100,93,2002,2022-04-19,"R$ 118.772,81",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
35,32,685,2022-04-20,"R$ 19.967,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
9,6,67,2022-04-20,"R$ 25.712,69",Padrão,VIAGEM E TURISMO,Parceiro-1561
7,3,89,2022-04-20,"R$ 34.192,75",Padrão,MODA E ACESSÓRIOS,Parceiro-169
9,7,243,2022-04-20,"R$ 5.477,42",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
12,9,76,2022-04-20,"R$ 23.442,88",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1428,935,14943,2022-04-20,"R$ 878.622,74",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
109,103,3169,2022-04-20,"R$ 261.874,55",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1791,1588,16841,2022-04-20,"R$ 1.226.976,12",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5001,4533,25319,2022-04-20,"R$ 911.278,33",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
584,418,4188,2022-04-20,"R$ 859.586,33",Padrão,VIAGEM E TURISMO,Parceiro-262
61,56,494,2022-04-20,"R$ 29.530,82",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
773,616,3517,2022-04-20,"R$ 124.317,72",Padrão,BELEZA E SAÚDE,Parceiro-463
291,275,1868,2022-04-20,"R$ 65.130,78",Padrão,MODA E ACESSÓRIOS,Parceiro-49
44,41,425,2022-04-20,"R$ 12.278,90",Padrão,BELEZA E SAÚDE,Parceiro-51
57,46,475,2022-04-20,"R$ 16.552,84",Padrão,ESPORTE E LAZER,Parceiro-525
56,29,589,2022-04-20,"R$ 5.325,78",Padrão,VIAGEM E TURISMO,Parceiro-6095
12,12,113,2022-04-20,"R$ 2.866,49",Padrão,ESPORTE E LAZER,Parceiro-62
19,18,180,2022-04-20,"R$ 6.234,50",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
9,5,46,2022-04-20,"R$ 2.023,44",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
6,5,17,2022-04-20,"R$ 1.591,50",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
94,86,1562,2022-04-20,"R$ 95.954,35",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
21,20,341,2022-04-21,"R$ 13.035,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
7,5,55,2022-04-21,"R$ 13.393,29",Padrão,VIAGEM E TURISMO,Parceiro-1561
8,7,83,2022-04-21,"R$ 33.928,65",Padrão,MODA E ACESSÓRIOS,Parceiro-169
11,8,287,2022-04-21,"R$ 6.657,91",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
23,19,102,2022-04-21,"R$ 11.828,89",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1466,1065,14168,2022-04-21,"R$ 1.074.019,59",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
40,38,1463,2022-04-21,"R$ 105.072,59",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1770,1555,15924,2022-04-21,"R$ 1.280.405,72",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4241,3892,21662,2022-04-21,"R$ 908.366,31",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
573,389,3982,2022-04-21,"R$ 1.056.629,62",Padrão,VIAGEM E TURISMO,Parceiro-262
60,53,454,2022-04-21,"R$ 37.814,55",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
558,440,2587,2022-04-21,"R$ 88.762,33",Padrão,BELEZA E SAÚDE,Parceiro-463
274,265,1730,2022-04-21,"R$ 61.787,47",Padrão,MODA E ACESSÓRIOS,Parceiro-49
74,64,486,2022-04-21,"R$ 18.740,25",Padrão,BELEZA E SAÚDE,Parceiro-51
46,37,419,2022-04-21,"R$ 14.928,95",Padrão,ESPORTE E LAZER,Parceiro-525
44,17,399,2022-04-21,"R$ 4.657,87",Padrão,VIAGEM E TURISMO,Parceiro-6095
13,11,145,2022-04-21,"R$ 2.565,63",Padrão,ESPORTE E LAZER,Parceiro-62
10,9,133,2022-04-21,"R$ 2.542,39",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,15,2022-04-21,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
1,1,15,2022-04-21,"R$ 166,25",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
79,74,1290,2022-04-21,"R$ 109.150,69",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
23,20,489,2022-04-22,"R$ 16.269,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
4,3,64,2022-04-22,"R$ 2.241,80",Padrão,VIAGEM E TURISMO,Parceiro-1561
7,5,114,2022-04-22,"R$ 18.463,70",Padrão,MODA E ACESSÓRIOS,Parceiro-169
10,8,246,2022-04-22,"R$ 5.674,45",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
12,7,73,2022-04-22,"R$ 11.500,94",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1733,1069,14389,2022-04-22,"R$ 983.326,75",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
13,10,297,2022-04-22,"R$ 17.566,56",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1131,980,9334,2022-04-22,"R$ 797.256,79",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4131,3766,21771,2022-04-22,"R$ 907.454,98",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
515,356,3490,2022-04-22,"R$ 769.699,86",Padrão,VIAGEM E TURISMO,Parceiro-262
42,39,441,2022-04-22,"R$ 28.251,35",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
658,527,2895,2022-04-22,"R$ 99.394,61",Padrão,BELEZA E SAÚDE,Parceiro-463
275,266,1722,2022-04-22,"R$ 59.495,15",Padrão,MODA E ACESSÓRIOS,Parceiro-49
44,40,426,2022-04-22,"R$ 16.001,15",Padrão,BELEZA E SAÚDE,Parceiro-51
56,40,408,2022-04-22,"R$ 15.758,20",Padrão,ESPORTE E LAZER,Parceiro-525
38,20,411,2022-04-22,"R$ 4.186,53",Padrão,VIAGEM E TURISMO,Parceiro-6095
20,19,130,2022-04-22,"R$ 4.434,06",Padrão,ESPORTE E LAZER,Parceiro-62
20,19,180,2022-04-22,"R$ 7.187,52",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
4,1,24,2022-04-22,"R$ 998,51",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
7,7,13,2022-04-22,"R$ 3.090,00",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
80,75,1452,2022-04-22,"R$ 104.197,50",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
14,14,333,2022-04-23,"R$ 7.530,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
7,4,66,2022-04-23,"R$ 11.812,62",Padrão,VIAGEM E TURISMO,Parceiro-1561
6,5,62,2022-04-23,"R$ 19.982,20",Padrão,MODA E ACESSÓRIOS,Parceiro-169
7,5,202,2022-04-23,"R$ 3.235,49",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
15,13,65,2022-04-23,"R$ 6.971,74",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1236,851,11622,2022-04-23,"R$ 826.304,45",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
11,9,152,2022-04-23,"R$ 88.898,29",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
899,768,7768,2022-04-23,"R$ 607.456,13",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
8079,7343,46027,2022-04-23,"R$ 2.621.656,63",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-233
346,240,2638,2022-04-23,"R$ 541.418,40",Padrão,VIAGEM E TURISMO,Parceiro-262
39,38,409,2022-04-23,"R$ 21.805,74",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
449,347,1993,2022-04-23,"R$ 71.403,82",Padrão,BELEZA E SAÚDE,Parceiro-463
227,210,1387,2022-04-23,"R$ 50.861,75",Padrão,MODA E ACESSÓRIOS,Parceiro-49
28,24,280,2022-04-23,"R$ 10.028,20",Padrão,BELEZA E SAÚDE,Parceiro-51
38,32,316,2022-04-23,"R$ 11.806,81",Padrão,ESPORTE E LAZER,Parceiro-525
34,14,263,2022-04-23,"R$ 3.646,39",Padrão,VIAGEM E TURISMO,Parceiro-6095
17,14,95,2022-04-23,"R$ 2.420,20",Padrão,ESPORTE E LAZER,Parceiro-62
18,18,102,2022-04-23,"R$ 4.505,48",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
2,1,16,2022-04-23,"R$ 1.023,80",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
5,4,27,2022-04-23,"R$ 1.303,25",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
62,59,1071,2022-04-23,"R$ 75.496,92",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
20,19,315,2022-04-24,"R$ 20.409,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
5,3,57,2022-04-24,"R$ 10.595,60",Padrão,VIAGEM E TURISMO,Parceiro-1561
12,8,95,2022-04-24,"R$ 33.104,95",Padrão,MODA E ACESSÓRIOS,Parceiro-169
10,10,219,2022-04-24,"R$ 5.841,07",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
18,17,96,2022-04-24,"R$ 9.878,57",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1275,1017,12393,2022-04-24,"R$ 930.868,67",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
8,5,139,2022-04-24,"R$ 90.086,97",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
934,815,8353,2022-04-24,"R$ 587.687,49",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4002,3643,21933,2022-04-24,"R$ 796.080,29",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
479,345,2992,2022-04-24,"R$ 680.835,00",Padrão,VIAGEM E TURISMO,Parceiro-262
62,60,434,2022-04-24,"R$ 33.315,07",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
520,420,2208,2022-04-24,"R$ 86.932,60",Padrão,BELEZA E SAÚDE,Parceiro-463
265,254,1740,2022-04-24,"R$ 59.295,34",Padrão,MODA E ACESSÓRIOS,Parceiro-49
34,31,285,2022-04-24,"R$ 11.336,88",Padrão,BELEZA E SAÚDE,Parceiro-51
30,23,323,2022-04-24,"R$ 9.310,43",Padrão,ESPORTE E LAZER,Parceiro-525
39,11,385,2022-04-24,"R$ 4.396,62",Padrão,VIAGEM E TURISMO,Parceiro-6095
14,11,128,2022-04-24,"R$ 4.327,38",Padrão,ESPORTE E LAZER,Parceiro-62
17,16,118,2022-04-24,"R$ 4.979,42",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
2,2,11,2022-04-24,"R$ 705,90",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
6,5,35,2022-04-24,"R$ 1.387,05",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
86,83,1344,2022-04-24,"R$ 97.864,19",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
57,57,620,2022-04-25,"R$ 57.126,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
8,4,99,2022-04-25,"R$ 2.886,68",Padrão,VIAGEM E TURISMO,Parceiro-1561
9,8,124,2022-04-25,"R$ 19.439,49",Padrão,MODA E ACESSÓRIOS,Parceiro-169
4,3,220,2022-04-25,"R$ 3.405,93",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
9,5,87,2022-04-25,"R$ 6.508,51",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1784,1343,16314,2022-04-25,"R$ 1.314.292,84",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
20,18,398,2022-04-25,"R$ 10.290,56",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
2522,2177,20351,2022-04-25,"R$ 2.220.469,90",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5087,4726,25223,2022-04-25,"R$ 915.552,20",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
675,467,4728,2022-04-25,"R$ 795.689,23",Padrão,VIAGEM E TURISMO,Parceiro-262
33,30,392,2022-04-25,"R$ 13.094,87",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
874,679,3949,2022-04-25,"R$ 136.778,49",Padrão,BELEZA E SAÚDE,Parceiro-463
318,297,1961,2022-04-25,"R$ 69.453,64",Padrão,MODA E ACESSÓRIOS,Parceiro-49
40,36,347,2022-04-25,"R$ 10.497,25",Padrão,BELEZA E SAÚDE,Parceiro-51
46,39,455,2022-04-25,"R$ 22.838,34",Padrão,ESPORTE E LAZER,Parceiro-525
60,25,583,2022-04-25,"R$ 5.180,39",Padrão,VIAGEM E TURISMO,Parceiro-6095
11,9,113,2022-04-25,"R$ 3.494,61",Padrão,ESPORTE E LAZER,Parceiro-62
14,14,185,2022-04-25,"R$ 2.991,53",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
4,1,49,2022-04-25,"R$ 1.339,36",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
12,10,43,2022-04-25,"R$ 3.333,30",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
128,118,2008,2022-04-25,"R$ 123.799,93",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
61,58,674,2022-04-26,"R$ 35.011,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
10,3,76,2022-04-26,"R$ 9.914,58",Padrão,VIAGEM E TURISMO,Parceiro-1561
9,6,152,2022-04-26,"R$ 21.861,95",Padrão,MODA E ACESSÓRIOS,Parceiro-169
5,5,222,2022-04-26,"R$ 3.327,08",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
23,13,118,2022-04-26,"R$ 14.735,17",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2010,1382,17495,2022-04-26,"R$ 1.485.212,03",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
12,10,389,2022-04-26,"R$ 2.499,90",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
2537,2197,19802,2022-04-26,"R$ 2.154.633,07",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4995,4620,25264,2022-04-26,"R$ 1.063.840,30",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
589,390,4253,2022-04-26,"R$ 699.223,97",Padrão,VIAGEM E TURISMO,Parceiro-262
