"Faça uma cópia da planilha para realizar o desafio em:
Arquivo > Fazer uma cópia",,,,,,,
Nº de vendas,Nº de vendas confirmadas,Qtd de acessos,Data,GMV,Tipo,Categoria,Parceiro
1023,754,4526,2022-01-11,"R$ 146.061,53",Padrão,BELEZA E SAÚDE,Parceiro-463
341,311,2403,2022-01-11,"R$ 62.088,74",Padrão,MODA E ACESSÓRIOS,Parceiro-49
59,53,525,2022-01-11,"R$ 16.816,80",Padrão,BELEZA E SAÚDE,Parceiro-51
83,66,738,2022-01-11,"R$ 30.351,53",Padrão,ESPORTE E LAZER,Parceiro-525
63,29,621,2022-01-11,"R$ 6.095,34",Padrão,VIAGEM E TURISMO,Parceiro-6095
16,12,108,2022-01-11,"R$ 3.134,22",Padrão,ESPORTE E LAZER,Parceiro-62
29,27,315,2022-01-11,"R$ 6.602,13",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,1,2022-01-11,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
156,147,2863,2022-01-11,"R$ 151.686,36",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
57,49,945,2022-01-12,"R$ 34.399,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
17,7,176,2022-01-12,"R$ 21.110,20",Padrão,VIAGEM E TURISMO,Parceiro-1561
4,1,99,2022-01-12,"R$ 8.566,10",Padrão,MODA E ACESSÓRIOS,Parceiro-169
28,26,531,2022-01-12,"R$ 14.124,70",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
4,4,36,2022-01-12,"R$ 10.466,10",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2912,2632,26014,2022-01-12,"R$ 1.448.814,23",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
38,36,881,2022-01-12,"R$ 68.641,26",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1830,1639,20340,2022-01-12,"R$ 1.542.529,95",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5533,4981,25349,2022-01-12,"R$ 978.401,40",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
570,386,4919,2022-01-12,"R$ 550.568,77",Padrão,VIAGEM E TURISMO,Parceiro-262
64,61,682,2022-01-12,"R$ 34.455,89",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
959,738,4148,2022-01-12,"R$ 134.361,99",Padrão,BELEZA E SAÚDE,Parceiro-463
310,289,1952,2022-01-12,"R$ 62.238,40",Padrão,MODA E ACESSÓRIOS,Parceiro-49
62,57,450,2022-01-12,"R$ 21.395,15",Padrão,BELEZA E SAÚDE,Parceiro-51
145,98,1807,2022-01-12,"R$ 47.326,92",Promocional,ESPORTE E LAZER,Parceiro-525
69,42,592,2022-01-12,"R$ 5.363,05",Padrão,VIAGEM E TURISMO,Parceiro-6095
14,13,109,2022-01-12,"R$ 3.151,37",Padrão,ESPORTE E LAZER,Parceiro-62
41,38,366,2022-01-12,"R$ 11.880,11",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,3,2022-01-12,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
143,133,2712,2022-01-12,"R$ 183.110,52",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
45,40,694,2022-01-13,"R$ 38.118,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
13,6,142,2022-01-13,"R$ 16.457,76",Padrão,VIAGEM E TURISMO,Parceiro-1561
3,3,82,2022-01-13,"R$ 9.500,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
17,16,363,2022-01-13,"R$ 8.837,47",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
6,4,32,2022-01-13,"R$ 39.193,02",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2754,2494,22791,2022-01-13,"R$ 1.331.469,99",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
38,37,487,2022-01-13,"R$ 39.023,14",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1503,1340,21422,2022-01-13,"R$ 1.424.694,99",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5048,4540,24345,2022-01-13,"R$ 1.034.087,39",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
514,355,4880,2022-01-13,"R$ 461.765,64",Padrão,VIAGEM E TURISMO,Parceiro-262
63,62,670,2022-01-13,"R$ 21.359,34",Promocional,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
956,716,4177,2022-01-13,"R$ 142.865,36",Padrão,BELEZA E SAÚDE,Parceiro-463
235,220,1713,2022-01-13,"R$ 48.017,20",Padrão,MODA E ACESSÓRIOS,Parceiro-49
49,46,361,2022-01-13,"R$ 18.185,25",Padrão,BELEZA E SAÚDE,Parceiro-51
153,120,1420,2022-01-13,"R$ 60.004,57",Promocional,ESPORTE E LAZER,Parceiro-525
63,42,476,2022-01-13,"R$ 5.404,94",Padrão,VIAGEM E TURISMO,Parceiro-6095
